Part,EDA,ECG,Respiration,Eyetracker,Game,Mouse Pos,Mouse Button,Keyboard,Face video,Face features,Depth video,Game video,Game resolution,Game audio,Game speech,Annot vlc,Annot arsl,NOTES,Consent_Q1,Consent_Q2,Consent_Q3,Consent_Q4,Consent_Q5,Consent_Q6
s63p3,0,0,0,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s63p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s64p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s64p2,3,3,3,0,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda needs smoothing,3,3,3,3,3,3
s64p3,3,2,3,3,3,0,0,0,3,3,3,3,1898x1080,,,3,0,Ecg low upside-down and low quality obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s64p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,0,,3,3,3,3,3,3
s65p1,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down?,3,3,3,3,3,3
s65p2,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg upside-down?,3,3,3,3,3,3
s65p3,2,1,2,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,Ecg can see r-peaks but very low quality eda needs processing respiration low precision obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s65p4,1,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s66p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg a little noisy,3,3,3,3,3,3
s66p2,0,3,3,3,3,0,3,0,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s66p3,2,2,3,3,3,0,3,3,3,3,3,3,1898x1080,,,0,3,Ecg low precision quality eda artifacts obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s66p4,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg low quality,0,0,0,0,0,0
s67p1,2,2,2,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s67p2,2,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,eda has artifacts,3,3,3,3,3,3
s67p3,1,1,1,3,3,0,3,3,3,3,3,3,1898x1080,,,3,0,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s67p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,0,3,3,0
s68p1,0,0,0,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,,3,3,3,3,3,3
s68p2,3,3,3,3,3,0,3,3,0,0,0,3,1920x1080,,,0,3,,3,3,3,3,3,0
s68p3,0,3,3,3,3,0,3,3,0,0,0,3,1898x1080,,,3,0,obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,0
s68p4,2,0,3,3,3,0,3,3,0,0,0,3,1920x1080,,,3,0,eda has artifacts,3,3,3,3,3,0
s69p1,0,3,0,3,3,0,0,0,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s69p2,0,2,3,3,3,0,0,0,3,3,3,3,1920x1080,,,0,3,ecg has some noisy parts,3,3,3,3,3,3
s69p3,2,2,3,3,3,0,0,0,3,3,3,3,1898x1080,,,0,3,Ecg low quality eda low precision no responses obs screen capture might have been misaligned by 22 pixels (needs verification),3,3,3,3,3,3
s69p4,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s70p1,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg low quality a bit noisy,3,3,3,3,3,3
s70p2,3,1,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,ecg low quality a bit noisy,3,3,3,3,3,3
s71p1,3,3,3,3,3,0,3,3,3,3,3,3,1920x1080,,,3,0,,3,3,3,3,3,3
s71p2,3,2,3,3,3,0,3,3,3,3,3,3,1920x1080,,,0,3,ecg a little noisy,3,3,3,3,3,3
